customer_id,joined,segment,country
SYN000000000,2021-04-26T05:00:05.659,PRIORITY,SG
SYN000000001,2017-05-21T05:13:17.522,RETAIL,MY
SYN000000002,2017-11-30T19:56:06.210,RETAIL,HK
SYN000000003,2016-12-14T12:53:20.463,RETAIL,SG
SYN000000004,2025-06-28T07:18:09.033,PRIORITY,MY
SYN000000005,2016-01-09T06:23:48.699,RETAIL,MY
SYN000000006,2018-06-01T01:41:00.808,CORPORATE,SG
SYN000000007,2018-09-08T17:54:39.125,RETAIL,SG
SYN000000008,2025-02-18T13:05:22.114,RETAIL,SG
SYN000000009,2020-11-08T04:45:01.564,PRIORITY,MY
SYN000000010,2019-01-03T21:47:00.438,PRIORITY,SG
SYN000000011,2022-02-14T15:10:39.227,PRIORITY,HK
SYN000000012,2020-04-03T19:39:35.862,RETAIL,SG
SYN000000013,2022-07-18T22:40:19.598,RETAIL,MY
SYN000000014,2018-11-15T12:08:33.711,CORPORATE,MY
SYN000000015,2016-01-23T20:32:02.598,PRIORITY,SG
SYN000000016,2025-07-09T14:14:50.513,PRIORITY,MY
SYN000000017,2020-04-13T04:14:14.488,PRIORITY,SG
SYN000000018,2016-08-05T00:36:36.102,RETAIL,SG
SYN000000019,2025-04-12T14:58:37.623,RETAIL,SG
SYN000000020,2018-09-16T12:04:46.204,RETAIL,SG
SYN000000021,2023-07-24T04:49:22.588,RETAIL,MY
SYN000000022,2019-10-08T21:03:20.828,PRIORITY,SG
SYN000000023,2015-10-10T02:06:23.120,PRIORITY,SG
SYN000000024,2022-02-07T19:46:43.732,RETAIL,SG
SYN000000025,2016-03-17T12:11:45.241,RETAIL,MY
SYN000000026,2019-02-16T00:54:44.043,RETAIL,MY
SYN000000027,2019-04-15T22:44:58.429,RETAIL,SG
SYN000000028,2020-11-03T23:51:58.834,RETAIL,MY
SYN000000029,2025-03-24T17:50:18.516,RETAIL,SG
SYN000000030,2017-01-24T11:38:25.490,RETAIL,MY
SYN000000031,2016-09-19T14:54:21.567,RETAIL,SG
SYN000000032,2018-10-19T06:13:54.339,RETAIL,SG
SYN000000033,2022-11-11T12:24:03.612,RETAIL,SG
SYN000000034,2017-04-24T07:52:44.098,PRIORITY,SG
SYN000000035,2024-03-16T02:12:30.643,PRIORITY,SG
SYN000000036,2024-02-29T17:03:40.936,CORPORATE,HK
SYN000000037,2025-02-15T17:42:34.465,RETAIL,SG
SYN000000038,2025-12-26T17:26:52.902,RETAIL,HK
SYN000000039,2022-05-01T04:38:05.254,RETAIL,SG
SYN000000040,2018-02-27T08:25:50.821,RETAIL,SG
SYN000000041,2017-11-25T22:38:47.706,PRIORITY,SG
SYN000000042,2019-09-23T04:28:19.884,RETAIL,SG
SYN000000043,2019-11-29T23:52:54.629,RETAIL,SG
SYN000000044,2015-01-13T08:12:18.231,RETAIL,IN
SYN000000045,2017-09-29T10:42:40.883,CORPORATE,SG
SYN000000046,2018-02-09T11:31:11.589,PRIORITY,SG
SYN000000047,2015-04-27T08:37:45.646,RETAIL,MY
