_msg_id,_ts,_mt_type,21,79,_sender_bic,_receiver_bic,_format
REF00000578876,2026-07-08T20:45:23.013,199,REL62046610,/CANC/ REQUEST CANCELLATION OF REF39441177,OCBCSGSG,HSBCGB2L,mt
REF00000164942,2026-07-09T11:57:41.991,199,REL61092483,/CANC/ REQUEST CANCELLATION OF REF49952525,UOVBSGSG,CITIUS33,mt
REF00000053974,2026-07-13T04:58:52.494,199,REL84308860,/CANC/ REQUEST CANCELLATION OF REF00836900,OCBCSGSG,HSBCGB2L,mt
REF00000142079,2026-07-03T20:13:06.577,199,REL57566703,/CANC/ REQUEST CANCELLATION OF REF92057986,OCBCSGSG,CITIUS33,mt
REF00000071861,2026-07-03T02:43:33.645,199,REL69987262,/CANC/ REQUEST CANCELLATION OF REF96586168,DBSSSGSG,CITIUS33,mt
REF00000584699,2026-07-06T16:06:03.810,199,REL57950055,/CANC/ REQUEST CANCELLATION OF REF05261111,OCBCSGSG,CITIUS33,mt
REF00000078418,2026-07-08T16:07:01.448,199,REL78157124,/CANC/ REQUEST CANCELLATION OF REF60207843,DBSSSGSG,MAYBMYKL,mt
REF00000188292,2026-07-11T05:30:32.605,199,REL31363751,/CANC/ REQUEST CANCELLATION OF REF80555521,OCBCSGSG,MAYBMYKL,mt
REF00000207767,2026-07-01T16:11:24.211,199,REL32591519,/CANC/ REQUEST CANCELLATION OF REF36067033,UOVBSGSG,MAYBMYKL,mt
REF00000210619,2026-07-12T08:08:40.202,199,REL71153909,/CANC/ REQUEST CANCELLATION OF REF54289670,OCBCSGSG,MAYBMYKL,mt
REF00000441713,2026-07-05T13:22:13.385,199,REL85619833,/CANC/ REQUEST CANCELLATION OF REF18074155,OCBCSGSG,CITIUS33,mt
REF00000586539,2026-07-01T03:08:17.230,199,REL40755438,/CANC/ REQUEST CANCELLATION OF REF65264778,DBSSSGSG,MAYBMYKL,mt
REF00000407230,2026-07-07T07:29:54.455,199,REL82952806,/CANC/ REQUEST CANCELLATION OF REF28165774,UOVBSGSG,MAYBMYKL,mt
REF00000061508,2026-07-03T08:15:09.507,199,REL22760260,/CANC/ REQUEST CANCELLATION OF REF74488023,UOVBSGSG,MAYBMYKL,mt
REF00000320412,2026-07-08T19:19:12.721,199,REL17897529,/CANC/ REQUEST CANCELLATION OF REF69219021,OCBCSGSG,HSBCGB2L,mt
REF00000098353,2026-07-10T14:04:22.724,199,REL43008587,/CANC/ REQUEST CANCELLATION OF REF30519021,UOVBSGSG,HSBCGB2L,mt
REF00000029160,2026-07-05T02:13:59.771,199,REL92985985,/CANC/ REQUEST CANCELLATION OF REF78645783,DBSSSGSG,HSBCGB2L,mt
REF00000463520,2026-07-02T11:49:12.193,199,REL68756972,/CANC/ REQUEST CANCELLATION OF REF18770924,OCBCSGSG,MAYBMYKL,mt
REF00000270953,2026-07-07T04:44:25.905,199,REL74534131,/CANC/ REQUEST CANCELLATION OF REF18816885,UOVBSGSG,MAYBMYKL,mt
REF00000012137,2026-07-10T04:54:16.546,199,REL91210186,/CANC/ REQUEST CANCELLATION OF REF64218592,OCBCSGSG,MAYBMYKL,mt
REF00000455103,2026-07-07T05:39:11.780,199,REL35841171,/CANC/ REQUEST CANCELLATION OF REF88149927,UOVBSGSG,HSBCGB2L,mt
REF00000054477,2026-07-12T21:02:01.863,199,REL96362512,/CANC/ REQUEST CANCELLATION OF REF14767359,DBSSSGSG,CITIUS33,mt
REF00000283233,2026-07-04T22:36:43.493,199,REL63353158,/CANC/ REQUEST CANCELLATION OF REF95586314,OCBCSGSG,HSBCGB2L,mt
REF00000234253,2026-07-05T21:06:09.263,199,REL25746837,/CANC/ REQUEST CANCELLATION OF REF58407772,UOVBSGSG,HSBCGB2L,mt
REF00000138122,2026-07-02T00:20:33.755,199,REL88672944,/CANC/ REQUEST CANCELLATION OF REF50380396,UOVBSGSG,CITIUS33,mt
REF00000212649,2026-07-01T10:59:46.954,199,REL48753138,/CANC/ REQUEST CANCELLATION OF REF57479054,UOVBSGSG,HSBCGB2L,mt
REF00000388008,2026-07-07T07:30:56.662,199,REL49235032,/CANC/ REQUEST CANCELLATION OF REF56039583,UOVBSGSG,CITIUS33,mt
REF00000313955,2026-07-09T06:27:01.912,199,REL61965645,/CANC/ REQUEST CANCELLATION OF REF29713509,UOVBSGSG,MAYBMYKL,mt
REF00000485439,2026-07-11T00:13:02.191,199,REL51229071,/CANC/ REQUEST CANCELLATION OF REF82233746,UOVBSGSG,MAYBMYKL,mt
REF00000187316,2026-07-04T21:25:36.439,199,REL52853159,/CANC/ REQUEST CANCELLATION OF REF41049706,DBSSSGSG,MAYBMYKL,mt
REF00000138967,2026-07-10T19:31:34.526,199,REL68696602,/CANC/ REQUEST CANCELLATION OF REF09441293,DBSSSGSG,CITIUS33,mt
REF00000504509,2026-07-05T13:31:02.202,199,REL85127152,/CANC/ REQUEST CANCELLATION OF REF15173625,DBSSSGSG,CITIUS33,mt
REF00000093453,2026-07-05T02:19:20.877,199,REL45429722,/CANC/ REQUEST CANCELLATION OF REF87252050,UOVBSGSG,MAYBMYKL,mt
REF00000412807,2026-07-09T09:45:19.353,199,REL93899797,/CANC/ REQUEST CANCELLATION OF REF68731584,UOVBSGSG,CITIUS33,mt
REF00000475591,2026-07-02T03:47:40.121,199,REL55308097,/CANC/ REQUEST CANCELLATION OF REF29325513,DBSSSGSG,CITIUS33,mt
REF00000437743,2026-07-07T12:54:24.355,199,REL95653733,/CANC/ REQUEST CANCELLATION OF REF95003497,DBSSSGSG,CITIUS33,mt
REF00000574307,2026-07-09T07:43:55.692,199,REL85935919,/CANC/ REQUEST CANCELLATION OF REF92454938,OCBCSGSG,MAYBMYKL,mt
REF00000497695,2026-07-11T20:18:40.005,199,REL39179788,/CANC/ REQUEST CANCELLATION OF REF17881115,UOVBSGSG,MAYBMYKL,mt
REF00000284532,2026-07-13T09:34:13.414,199,REL60679185,/CANC/ REQUEST CANCELLATION OF REF47325757,DBSSSGSG,MAYBMYKL,mt
REF00000424928,2026-07-11T12:49:20.181,199,REL80805066,/CANC/ REQUEST CANCELLATION OF REF50039597,OCBCSGSG,MAYBMYKL,mt
REF00000461043,2026-07-11T04:30:46.521,199,REL35250414,/CANC/ REQUEST CANCELLATION OF REF85886685,UOVBSGSG,HSBCGB2L,mt
REF00000430620,2026-07-11T14:27:43.405,199,REL65894076,/CANC/ REQUEST CANCELLATION OF REF42429455,UOVBSGSG,MAYBMYKL,mt
REF00000118395,2026-07-05T21:05:29.520,199,REL57122342,/CANC/ REQUEST CANCELLATION OF REF33438102,DBSSSGSG,MAYBMYKL,mt
REF00000321846,2026-07-10T05:16:24.954,199,REL76001358,/CANC/ REQUEST CANCELLATION OF REF59263274,DBSSSGSG,CITIUS33,mt
REF00000583180,2026-07-11T17:17:58.043,199,REL61599538,/CANC/ REQUEST CANCELLATION OF REF61260265,DBSSSGSG,HSBCGB2L,mt
REF00000562581,2026-07-10T05:40:07.380,199,REL00547713,/CANC/ REQUEST CANCELLATION OF REF42230960,UOVBSGSG,CITIUS33,mt
REF00000377128,2026-07-05T05:44:49.704,199,REL27875038,/CANC/ REQUEST CANCELLATION OF REF77416968,DBSSSGSG,MAYBMYKL,mt
REF00000003063,2026-07-05T06:34:44.642,199,REL15234436,/CANC/ REQUEST CANCELLATION OF REF18719891,UOVBSGSG,HSBCGB2L,mt
REF00000523034,2026-07-03T08:18:20.774,199,REL20801462,/CANC/ REQUEST CANCELLATION OF REF48697785,OCBCSGSG,CITIUS33,mt
REF00000599057,2026-07-02T14:04:10.698,199,REL49635959,/CANC/ REQUEST CANCELLATION OF REF92135200,OCBCSGSG,CITIUS33,mt
