_msg_id,_ts,_mt_type,32A_ccy,21,_sender_bic,_receiver_bic,32A_amount,52A,57A,58A,_format
REF00000788762,2026-07-02T17:51:16.281,202,SGD,REL47966697,OCBCSGSG,HSBCGB2L,602304,UOVBSGSG,MAYBMYKL,CITIUS33,mt
REF00000350492,2026-07-06T13:16:05.626,202,SGD,REL17715162,UOVBSGSG,MAYBMYKL,238673,OCBCSGSG,CITIUS33,CITIUS33,mt
REF00000119803,2026-07-09T05:53:54.988,202,MYR,REL78698198,OCBCSGSG,HSBCGB2L,85487,UOVBSGSG,OCBCSGSG,MAYBMYKL,mt
REF00000205755,2026-07-04T10:24:38.956,202,EUR,REL99525255,UOVBSGSG,HSBCGB2L,18674,DBSSSGSG,DBSSSGSG,MAYBMYKL,mt
REF00000119553,2026-07-05T11:43:41.646,202,SGD,REL83592451,DBSSSGSG,CITIUS33,169854,UOVBSGSG,UOVBSGSG,MAYBMYKL,mt
REF00000623079,2026-07-12T15:43:44.239,202,SGD,REL19413008,UOVBSGSG,HSBCGB2L,421387,UOVBSGSG,HSBCGB2L,CITIUS33,mt
REF00000524870,2026-07-01T15:54:12.716,202,USD,REL96043498,OCBCSGSG,CITIUS33,297305,DBSSSGSG,MAYBMYKL,MAYBMYKL,mt
REF00000188752,2026-07-09T10:53:04.592,202,USD,REL80619205,OCBCSGSG,CITIUS33,42157,DBSSSGSG,OCBCSGSG,CITIUS33,mt
REF00000033849,2026-07-10T07:34:24.911,202,USD,REL18615981,OCBCSGSG,CITIUS33,72245,UOVBSGSG,CITIUS33,HSBCGB2L,mt
REF00000017494,2026-07-13T06:05:54.906,202,SGD,REL92132379,UOVBSGSG,HSBCGB2L,34176,UOVBSGSG,MAYBMYKL,HSBCGB2L,mt
REF00000726221,2026-07-04T23:51:17.727,202,SGD,REL38469994,DBSSSGSG,HSBCGB2L,46815,UOVBSGSG,HSBCGB2L,MAYBMYKL,mt
REF00000379807,2026-07-12T03:52:54.538,202,SGD,REL34334229,UOVBSGSG,HSBCGB2L,19919,UOVBSGSG,OCBCSGSG,HSBCGB2L,mt
REF00000057950,2026-07-13T05:40:54.170,202,SGD,REL14161784,OCBCSGSG,MAYBMYKL,419939,OCBCSGSG,DBSSSGSG,MAYBMYKL,mt
REF00000049222,2026-07-10T14:46:02.200,202,USD,REL77421128,DBSSSGSG,CITIUS33,62392,DBSSSGSG,DBSSSGSG,CITIUS33,mt
REF00000678157,2026-07-08T01:57:09.384,202,SGD,REL96629926,UOVBSGSG,CITIUS33,623878,UOVBSGSG,DBSSSGSG,CITIUS33,mt
REF00000478470,2026-07-12T14:19:10.969,202,USD,REL83087194,DBSSSGSG,MAYBMYKL,104932,UOVBSGSG,MAYBMYKL,HSBCGB2L,mt
REF00000555219,2026-07-07T03:39:47.488,202,SGD,REL75106132,UOVBSGSG,CITIUS33,49273,DBSSSGSG,HSBCGB2L,HSBCGB2L,mt
REF00000704557,2026-07-08T21:54:30.919,202,USD,REL30296820,DBSSSGSG,MAYBMYKL,296201,OCBCSGSG,DBSSSGSG,MAYBMYKL,mt
REF00000606703,2026-07-01T17:41:48.675,202,SGD,REL47384055,OCBCSGSG,CITIUS33,37244,DBSSSGSG,UOVBSGSG,CITIUS33,mt
REF00000038537,2026-07-12T05:43:30.817,202,EUR,REL18685862,UOVBSGSG,CITIUS33,131159,DBSSSGSG,DBSSSGSG,CITIUS33,mt
REF00000428967,2026-07-05T01:07:58.046,202,MYR,REL75501361,UOVBSGSG,MAYBMYKL,22603,UOVBSGSG,UOVBSGSG,HSBCGB2L,mt
REF00000338868,2026-07-09T20:21:43.494,202,SGD,REL13411763,UOVBSGSG,HSBCGB2L,45642,UOVBSGSG,CITIUS33,CITIUS33,mt
REF00000180741,2026-07-03T03:34:05.915,202,USD,REL50536714,OCBCSGSG,HSBCGB2L,70468,OCBCSGSG,CITIUS33,HSBCGB2L,mt
REF00000040210,2026-07-06T18:28:48.993,202,USD,REL57342174,UOVBSGSG,CITIUS33,248327,UOVBSGSG,OCBCSGSG,MAYBMYKL,mt
REF00000354407,2026-07-03T09:43:56.156,202,SGD,REL20037558,DBSSSGSG,HSBCGB2L,144906,OCBCSGSG,OCBCSGSG,HSBCGB2L,mt
REF00000450060,2026-07-09T15:37:54.568,202,SGD,REL40200707,DBSSSGSG,HSBCGB2L,39390,DBSSSGSG,OCBCSGSG,CITIUS33,mt
REF00000744748,2026-07-09T16:37:55.206,202,SGD,REL99817244,OCBCSGSG,MAYBMYKL,122272,OCBCSGSG,MAYBMYKL,HSBCGB2L,mt
REF00000043055,2026-07-08T02:23:31.699,202,SGD,REL10416477,DBSSSGSG,CITIUS33,27685,OCBCSGSG,MAYBMYKL,MAYBMYKL,mt
REF00000602243,2026-07-05T13:57:16.614,202,SGD,REL20412124,DBSSSGSG,CITIUS33,49675,OCBCSGSG,MAYBMYKL,CITIUS33,mt
REF00000570587,2026-07-12T08:16:36.438,202,EUR,REL25432090,UOVBSGSG,HSBCGB2L,113735,UOVBSGSG,UOVBSGSG,HSBCGB2L,mt
REF00000299357,2026-07-13T13:40:58.391,202,USD,REL42198353,DBSSSGSG,MAYBMYKL,241908,OCBCSGSG,HSBCGB2L,CITIUS33,mt
REF00000366315,2026-07-05T04:53:25.648,202,SGD,REL58567519,DBSSSGSG,MAYBMYKL,94262,DBSSSGSG,DBSSSGSG,HSBCGB2L,mt
REF00000085875,2026-07-06T14:23:27.953,202,SGD,REL24483129,UOVBSGSG,HSBCGB2L,36956,UOVBSGSG,MAYBMYKL,HSBCGB2L,mt
REF00000641117,2026-07-13T03:44:03.188,202,SGD,REL93536108,UOVBSGSG,CITIUS33,105774,OCBCSGSG,OCBCSGSG,CITIUS33,mt
REF00000459298,2026-07-12T21:02:10.215,202,USD,REL64373217,DBSSSGSG,MAYBMYKL,238848,OCBCSGSG,CITIUS33,CITIUS33,mt
REF00000563244,2026-07-06T12:27:18.736,202,MYR,REL33593286,UOVBSGSG,MAYBMYKL,69452,DBSSSGSG,UOVBSGSG,HSBCGB2L,mt
REF00000736875,2026-07-08T13:50:12.144,202,USD,REL82478275,DBSSSGSG,HSBCGB2L,441967,DBSSSGSG,DBSSSGSG,CITIUS33,mt
REF00000675923,2026-07-10T02:58:37.014,202,USD,REL73689510,OCBCSGSG,HSBCGB2L,36044,DBSSSGSG,MAYBMYKL,MAYBMYKL,mt
REF00000453413,2026-07-05T08:12:04.236,202,SGD,REL45511213,UOVBSGSG,MAYBMYKL,46851,UOVBSGSG,UOVBSGSG,HSBCGB2L,mt
REF00000664484,2026-07-13T10:02:05.226,202,SGD,REL40895312,DBSSSGSG,CITIUS33,49645,OCBCSGSG,UOVBSGSG,MAYBMYKL,mt
REF00000210186,2026-07-11T11:17:25.141,202,SGD,REL05855103,UOVBSGSG,HSBCGB2L,5306,DBSSSGSG,MAYBMYKL,CITIUS33,mt
REF00000266165,2026-07-09T06:41:11.527,202,EUR,REL79849638,DBSSSGSG,MAYBMYKL,138540,UOVBSGSG,UOVBSGSG,CITIUS33,mt
REF00000584117,2026-07-11T10:09:28.820,202,SGD,REL00544774,OCBCSGSG,HSBCGB2L,12462,UOVBSGSG,OCBCSGSG,CITIUS33,mt
REF00000214880,2026-07-03T16:08:28.785,202,USD,REL59054747,DBSSSGSG,CITIUS33,62741,UOVBSGSG,DBSSSGSG,HSBCGB2L,mt
REF00000362512,2026-07-01T09:40:00.597,202,USD,REL56483233,UOVBSGSG,CITIUS33,72295,UOVBSGSG,HSBCGB2L,CITIUS33,mt
REF00000082039,2026-07-09T23:25:36.633,202,USD,REL93482662,UOVBSGSG,HSBCGB2L,288788,OCBCSGSG,CITIUS33,MAYBMYKL,mt
REF00000431363,2026-07-05T11:17:52.936,202,SGD,REL08432491,UOVBSGSG,CITIUS33,162168,UOVBSGSG,OCBCSGSG,CITIUS33,mt
REF00000483734,2026-07-05T06:18:06.560,202,SGD,REL99102559,DBSSSGSG,MAYBMYKL,814699,OCBCSGSG,OCBCSGSG,HSBCGB2L,mt
REF00000270125,2026-07-03T10:04:32.342,202,USD,REL79787071,UOVBSGSG,CITIUS33,72300,UOVBSGSG,OCBCSGSG,HSBCGB2L,mt
REF00000062187,2026-07-06T17:21:49.188,202,USD,REL13141503,OCBCSGSG,MAYBMYKL,195568,OCBCSGSG,HSBCGB2L,CITIUS33,mt
