_msg_id,_ts,_mt_type,32A_ccy,21,_sender_bic,_receiver_bic,32A_amount,52A,57A,58A,_format
REF00000092668,2026-07-09T18:26:15.596,202,EUR,REL00575668,OCBCSGSG,CITIUS33,52638,DBSSSGSG,DBSSSGSG,CITIUS33,mt
REF00000374788,2026-07-07T17:32:14.279,202,EUR,REL59877352,UOVBSGSG,MAYBMYKL,90566,UOVBSGSG,MAYBMYKL,HSBCGB2L,mt
REF00000493182,2026-07-13T04:01:16.217,202,SGD,REL06005523,OCBCSGSG,HSBCGB2L,395152,OCBCSGSG,MAYBMYKL,CITIUS33,mt
REF00000570478,2026-07-05T10:24:28.524,202,USD,REL92731510,DBSSSGSG,CITIUS33,77220,UOVBSGSG,UOVBSGSG,HSBCGB2L,mt
REF00000173803,2026-07-04T03:09:00.145,202,USD,REL41939954,OCBCSGSG,HSBCGB2L,74215,UOVBSGSG,DBSSSGSG,MAYBMYKL,mt
REF00000366809,2026-07-11T01:54:19.297,202,SGD,REL17508195,OCBCSGSG,CITIUS33,278852,OCBCSGSG,DBSSSGSG,HSBCGB2L,mt
REF00000413731,2026-07-10T09:44:15.732,202,MYR,REL25614111,UOVBSGSG,CITIUS33,23245,OCBCSGSG,OCBCSGSG,HSBCGB2L,mt
REF00000632794,2026-07-05T06:46:38.539,202,SGD,REL15282611,OCBCSGSG,HSBCGB2L,70808,UOVBSGSG,CITIUS33,HSBCGB2L,mt
REF00000365927,2026-07-10T21:37:19.088,202,USD,REL26807464,DBSSSGSG,HSBCGB2L,135480,DBSSSGSG,MAYBMYKL,HSBCGB2L,mt
REF00000639963,2026-07-05T13:16:26.889,202,USD,REL49937920,DBSSSGSG,CITIUS33,98865,UOVBSGSG,CITIUS33,CITIUS33,mt
REF00000526420,2026-07-09T23:09:49.811,202,USD,REL74204870,DBSSSGSG,CITIUS33,463548,OCBCSGSG,OCBCSGSG,CITIUS33,mt
REF00000140378,2026-07-09T07:33:41.435,202,SGD,REL11653551,UOVBSGSG,CITIUS33,122860,DBSSSGSG,HSBCGB2L,MAYBMYKL,mt
