_msg_id,_ts,_msg_type,PrtryMsg.MsgHdr.MsgId,PrtryMsg.MsgHdr.CreDtTm,PrtryMsg.Rltd.Ref,PrtryMsg.PrtryData.Tp,PrtryMsg.PrtryData.Data.Nrrtv,_ns,_format
TQQN07500201,2026-07-08T21:00:12.478,camt.998.001.03,FREE00000515,2026-07-13T22:32:08,REF00000591636,FREE_FORMAT,CAYMENLATTOTUREQUERY REF79860960,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
UOGG83087194,2026-07-12T22:36:40.045,camt.998.001.03,FREE00000252,2026-07-01T13:08:04,REF00000567270,FREE_FORMAT,CANCENL TIOTUS QUEST REF75106132,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
ZULF64778835,2026-07-10T07:01:51.808,camt.998.001.03,FREE00000378,2026-07-02T17:10:09,REF00000529326,FREE_FORMAT,CAYMELL SIAN R QUERY REF65098174,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
ROXL37591863,2026-07-09T03:03:25.749,camt.998.001.03,FREE00000292,2026-07-09T00:09:27,REF00000483912,FREE_FORMAT,PANCENLATIONUS QUESY REF75105761,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
AZRO53773053,2026-07-05T07:41:26.031,camt.998.001.03,FREE00000242,2026-07-12T23:16:46,REF00000000790,FREE_FORMAT,CAYCENL TION SEQUEST REF99278248,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
DYCV13141503,2026-07-11T22:18:14.097,camt.998.001.03,FREE00000017,2026-07-10T06:26:22,REF00000463150,FREE_FORMAT,CAYMENL SIONUSEQUEST REF63885455,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
HHUP46039451,2026-07-14T19:10:29.047,camt.998.001.03,FREE00000049,2026-07-09T22:16:01,REF00000374115,FREE_FORMAT,CANCELLASTAT S QUEST REF76096138,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
TRQG45616391,2026-07-09T21:55:09.305,camt.998.001.03,FREE00000479,2026-07-03T01:26:09,REF00000307687,FREE_FORMAT,CANMENTASTON REQUEST REF63068844,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
LXLY00551387,2026-07-12T09:58:54.496,camt.998.001.03,FREE00000239,2026-07-11T02:23:29,REF00000124086,FREE_FORMAT,PAYMELTATTON S QUESY REF97889479,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
JZUL51526589,2026-07-08T19:09:23.544,camt.998.001.03,FREE00000143,2026-07-01T07:57:04,REF00000123786,FREE_FORMAT,PAYCELT TTON R QUESY REF78178408,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
EMOU81947771,2026-07-13T14:52:25.756,camt.998.001.03,FREE00000451,2026-07-01T17:29:07,REF00000341696,FREE_FORMAT,PAYMENT TIANUREQUERT REF85934466,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
PIUI30489582,2026-07-12T15:24:18.818,camt.998.001.03,FREE00000212,2026-07-04T07:48:36,REF00000094413,FREE_FORMAT,PAYCENTATTOTUSEQUERY REF71176908,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
LMQZ08937731,2026-07-13T09:37:02.408,camt.998.001.03,FREE00000202,2026-07-01T17:51:38,REF00000142540,FREE_FORMAT,CANMELTATTAT REQUERY REF70005252,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
UCKQ16328687,2026-07-09T21:18:50.967,camt.998.001.03,FREE00000585,2026-07-01T20:11:49,REF00000531504,FREE_FORMAT,PAYCELT STON SEQUERY REF14037946,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
BJPK34551491,2026-07-13T14:20:30.019,camt.998.001.03,FREE00000464,2026-07-09T02:10:09,REF00000018670,FREE_FORMAT,CAYCELT TTAT SEQUESY REF74432361,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
WWAV82122280,2026-07-10T10:15:31.596,camt.998.001.03,FREE00000033,2026-07-05T06:19:43,REF00000465250,FREE_FORMAT,CANCENTATTONUR QUEST REF97265947,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
KCRR65412741,2026-07-09T16:59:27.628,camt.998.001.03,FREE00000088,2026-07-07T09:31:06,REF00000322326,FREE_FORMAT,PANCENTASIOTUSEQUERT REF74566886,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
OQNX51191727,2026-07-04T15:53:42.151,camt.998.001.03,FREE00000524,2026-07-11T10:35:25,REF00000488914,FREE_FORMAT,PAYCELT SIANUSEQUERY REF67398796,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
DOVP42979048,2026-07-05T04:16:59.440,camt.998.001.03,FREE00000499,2026-07-14T16:21:13,REF00000001074,FREE_FORMAT,PAYCELL STAT SEQUEST REF04384145,urn:iso:std:iso:20022:tech:xsd:camt.998.001.03,mx
