_msg_id,_ts,_msg_type,FICdtTrf.CdtTrfTxInf.IntrBkSttlmAmt@Ccy,FICdtTrf.GrpHdr.MsgId,FICdtTrf.GrpHdr.CreDtTm,FICdtTrf.GrpHdr.NbOfTxs,FICdtTrf.GrpHdr.SttlmInf.SttlmMtd,FICdtTrf.CdtTrfTxInf.PmtId.EndToEndId,FICdtTrf.CdtTrfTxInf.PmtId.UETR,FICdtTrf.CdtTrfTxInf.IntrBkSttlmAmt,FICdtTrf.CdtTrfTxInf.Dbtr.FinInstnId.BICFI,FICdtTrf.CdtTrfTxInf.Cdtr.FinInstnId.BICFI,_ns,_format
MSG00000788762,2026-07-05T17:58:00.190,pacs.009.001.08,SGD,MSG00000693504,2026-07-07T15:06:08,1,INDA,REF00000796669,e302123b-000b-e425-0f72-221829fb876e,19800,UOVBSGSG,CITIUS33,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000464848,2026-07-06T17:19:16.129,pacs.009.001.08,EUR,MSG00000461092,2026-07-07T22:19:42,1,INDA,REF00000594709,020a4fc5-2f52-40b3-9e1d-158494e1cbfa,76229,UOVBSGSG,MAYBMYKL,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000413008,2026-07-06T05:10:37.571,pacs.009.001.08,SGD,MSG00000420796,2026-07-10T20:37:58,1,INDA,REF00000088609,ef1f5ee9-35dd-3fc8-b358-ae22c619172a,195110,UOVBSGSG,MAYBMYKL,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000033849,2026-07-09T04:19:06.485,pacs.009.001.08,USD,MSG00000101749,2026-07-14T09:39:55,1,INDA,REF00000186159,9e282d63-6e7b-d569-b4ff-441542a50124,185032,DBSSSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000632953,2026-07-11T00:42:07.237,pacs.009.001.08,EUR,MSG00000611114,2026-07-14T05:59:59,1,INDA,REF00000607331,61dca6c8-da42-8dc8-c869-1be7f5c902fc,190949,DBSSSGSG,MAYBMYKL,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000684277,2026-07-07T12:39:30.605,pacs.009.001.08,USD,MSG00000119123,2026-07-05T05:29:19,1,INDA,REF00000602078,9df5cf59-b65e-0e30-f24a-99a96826aaae,374981,OCBCSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000521901,2026-07-02T07:42:08.118,pacs.009.001.08,USD,MSG00000704557,2026-07-10T05:46:16,1,INDA,REF00000061326,82378b40-1164-bd29-f7b2-a75ff42475ca,353708,OCBCSGSG,MAYBMYKL,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000738405,2026-07-05T08:25:17.152,pacs.009.001.08,SGD,MSG00000261868,2026-07-09T01:36:12,1,INDA,REF00000028070,4e1b2bd1-a76b-f10e-9da4-70bbd5206644,27396,OCBCSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000338868,2026-07-08T06:09:09.520,pacs.009.001.08,SGD,MSG00000180741,2026-07-12T14:39:39,1,INDA,REF00000341176,81ebb9cd-790a-316b-a9b8-e50d76e85bdf,36086,DBSSSGSG,MAYBMYKL,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000217467,2026-07-12T08:50:12.743,pacs.009.001.08,SGD,MSG00000375580,2026-07-09T18:40:06,1,INDA,REF00000354407,ffeb3c43-f348-2ac9-c6fe-e3e2265a5c86,705114,UOVBSGSG,CITIUS33,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000744748,2026-07-05T08:18:36.942,pacs.009.001.08,SGD,MSG00000043055,2026-07-10T20:12:13,1,INDA,REF00000172441,805a3118-aa9d-cc09-a746-eda8dc8fa795,738784,OCBCSGSG,CITIUS33,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000412124,2026-07-05T16:11:40.393,pacs.009.001.08,USD,MSG00000424254,2026-07-14T18:37:26,1,INDA,REF00000587157,5d517b6d-0c22-7cfc-9ae2-0544cd5493fa,83052,DBSSSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000663158,2026-07-02T07:40:11.221,pacs.009.001.08,EUR,MSG00000587537,2026-07-10T00:20:36,1,INDA,REF00000675197,48df8a52-7e72-484c-646a-0b6700be70dd,137815,OCBCSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000123786,2026-07-04T02:27:25.018,pacs.009.001.08,USD,MSG00000360365,2026-07-12T02:59:17,1,INDA,REF00000370643,fda7f9f0-93e7-d61d-3d55-b572c1480b18,74247,UOVBSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000582478,2026-07-10T19:49:39.956,pacs.009.001.08,SGD,MSG00000286736,2026-07-13T23:36:37,1,INDA,REF00000564068,01df0957-197e-585d-09a6-19f0d5da932d,27900,DBSSSGSG,CITIUS33,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000576899,2026-07-06T11:32:14.646,pacs.009.001.08,SGD,MSG00000421859,2026-07-05T04:55:55,1,INDA,REF00000603283,a1de5c3a-3c2a-2af8-2e0b-63e518c91aa6,49403,DBSSSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000379849,2026-07-11T23:41:34.741,pacs.009.001.08,SGD,MSG00000008700,2026-07-12T14:02:50,1,INDA,REF00000278248,27390220-bd0c-262b-bcb3-44eb431851af,535590,UOVBSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000096362,2026-07-05T05:42:52.744,pacs.009.001.08,SGD,MSG00000760820,2026-07-05T23:46:44,1,INDA,REF00000565648,2db0da65-d5df-cfc9-84b4-97954e18db1b,26062,OCBCSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000534253,2026-07-05T09:16:42.923,pacs.009.001.08,USD,MSG00000235015,2026-07-02T15:36:05,1,INDA,REF00000373451,01696fc9-cd8e-a86a-cbbd-cd985eb651ce,236531,OCBCSGSG,MAYBMYKL,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000707681,2026-07-11T22:22:47.356,pacs.009.001.08,MYR,MSG00000672944,2026-07-09T00:54:31,1,INDA,REF00000070183,47c9bd87-ea35-5ce8-e25e-1196c4d2649b,25593,UOVBSGSG,CITIUS33,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000145381,2026-07-06T18:33:16.787,pacs.009.001.08,USD,MSG00000788008,2026-07-09T01:31:29,1,INDA,REF00000753138,95df17fc-5133-43fb-0264-c8d9be72a169,142327,UOVBSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000503274,2026-07-09T04:22:19.967,pacs.009.001.08,EUR,MSG00000363383,2026-07-14T03:26:53,1,INDA,REF00000361395,cbf9855a-1aab-3d29-3a4c-f1c0d0722bbf,95298,OCBCSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000395601,2026-07-06T09:24:53.953,pacs.009.001.08,SGD,MSG00000517822,2026-07-12T18:22:04,1,INDA,REF00000687015,110073c8-8922-aadf-eda6-680d0e08d01d,104778,DBSSSGSG,MAYBMYKL,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
MSG00000577411,2026-07-04T05:33:07.347,pacs.009.001.08,MYR,MSG00000264193,2026-07-06T01:31:46,1,INDA,REF00000104970,d52e7173-06cc-643a-223e-6cc6aa11dde7,94078,UOVBSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx
