uetr,ts,service,status,msg_type,rail,amount,currency,debtor_account,country,latency_ms
e302123b-000b-e425-0f72-221829fb876e,2026-07-05T17:35:26.999,gateway,OK,MT103,FAST,1179.66,EUR,**************6018,SG,47
e302123b-000b-e425-0f72-221829fb876e,2026-07-05T17:35:27.095,auth,OK,MT103,FAST,1179.66,EUR,**************6018,SG,63
e302123b-000b-e425-0f72-221829fb876e,2026-07-05T17:35:27.183,validation,OK,MT103,FAST,1179.66,EUR,**************6018,SG,111
e302123b-000b-e425-0f72-221829fb876e,2026-07-05T17:35:27.280,aml,OK,MT103,FAST,1179.66,EUR,**************6018,SG,188
e302123b-000b-e425-0f72-221829fb876e,2026-07-05T17:35:27.337,payment-hub,OK,MT103,FAST,1179.66,EUR,**************6018,SG,40
e302123b-000b-e425-0f72-221829fb876e,2026-07-05T17:35:27.434,core-banking,OK,MT103,FAST,1179.66,EUR,**************6018,SG,204
e302123b-000b-e425-0f72-221829fb876e,2026-07-05T17:35:27.482,settlement,SETTLED,MT103,FAST,1179.66,EUR,**************6018,SG,398
020a4fc5-2f52-40b3-9e1d-158494e1cbfa,2026-07-04T20:57:28.188,gateway,OK,pacs.008,SWIFT,622.34,EUR,**************9013,SG,31
020a4fc5-2f52-40b3-9e1d-158494e1cbfa,2026-07-04T20:57:28.270,auth,OK,pacs.008,SWIFT,622.34,EUR,**************9013,SG,29
020a4fc5-2f52-40b3-9e1d-158494e1cbfa,2026-07-04T20:57:28.355,validation,OK,pacs.008,SWIFT,622.34,EUR,**************9013,SG,74
020a4fc5-2f52-40b3-9e1d-158494e1cbfa,2026-07-04T20:57:58.378,aml,OK,pacs.008,SWIFT,622.34,EUR,**************9013,SG,64
020a4fc5-2f52-40b3-9e1d-158494e1cbfa,2026-07-04T20:57:58.498,payment-hub,OK,pacs.008,SWIFT,622.34,EUR,**************9013,SG,138
020a4fc5-2f52-40b3-9e1d-158494e1cbfa,2026-07-04T20:57:58.710,core-banking,OK,pacs.008,SWIFT,622.34,EUR,**************9013,SG,172
020a4fc5-2f52-40b3-9e1d-158494e1cbfa,2026-07-04T20:57:58.793,settlement,SETTLED,pacs.008,SWIFT,622.34,EUR,**************9013,SG,210
ef1f5ee9-35dd-3fc8-b358-ae22c619172a,2026-07-06T05:53:31.792,gateway,OK,MT103,CARDS,619.23,SGD,**************7299,US,40
ef1f5ee9-35dd-3fc8-b358-ae22c619172a,2026-07-06T05:53:31.842,auth,OK,MT103,CARDS,619.23,SGD,**************7299,US,20
ef1f5ee9-35dd-3fc8-b358-ae22c619172a,2026-07-06T05:53:31.930,validation,OK,MT103,CARDS,619.23,SGD,**************7299,US,35
ef1f5ee9-35dd-3fc8-b358-ae22c619172a,2026-07-06T05:53:32.065,aml,OK,MT103,CARDS,619.23,SGD,**************7299,US,175
ef1f5ee9-35dd-3fc8-b358-ae22c619172a,2026-07-06T05:53:32.152,payment-hub,OK,MT103,CARDS,619.23,SGD,**************7299,US,62
ef1f5ee9-35dd-3fc8-b358-ae22c619172a,2026-07-06T05:53:32.310,core-banking,OK,MT103,CARDS,619.23,SGD,**************7299,US,120
ef1f5ee9-35dd-3fc8-b358-ae22c619172a,2026-07-06T05:53:32.390,settlement,SETTLED,MT103,CARDS,619.23,SGD,**************7299,US,194
9e282d63-6e7b-d569-b4ff-441542a50124,2026-07-06T23:48:40.989,gateway,OK,0200,SWIFT,394.88,SGD,**************7232,SG,34
9e282d63-6e7b-d569-b4ff-441542a50124,2026-07-06T23:48:41.068,auth,OK,0200,SWIFT,394.88,SGD,**************7232,SG,26
9e282d63-6e7b-d569-b4ff-441542a50124,2026-07-06T23:48:41.257,validation,OK,0200,SWIFT,394.88,SGD,**************7232,SG,62
9e282d63-6e7b-d569-b4ff-441542a50124,2026-07-06T23:48:41.342,aml,TIMEOUT,0200,SWIFT,394.88,SGD,**************7232,SG,30000
9e282d63-6e7b-d569-b4ff-441542a50124,2026-07-06T23:48:41.641,payment-hub,FAILED,0200,SWIFT,394.88,SGD,**************7232,SG,104
61dca6c8-da42-8dc8-c869-1be7f5c902fc,2026-07-07T09:19:48.957,gateway,OK,MT103,FAST,952.7,USD,**************8737,SG,38
61dca6c8-da42-8dc8-c869-1be7f5c902fc,2026-07-07T09:19:49.109,auth,OK,MT103,FAST,952.7,USD,**************8737,SG,90
61dca6c8-da42-8dc8-c869-1be7f5c902fc,2026-07-07T09:19:49.443,validation,OK,MT103,FAST,952.7,USD,**************8737,SG,49
61dca6c8-da42-8dc8-c869-1be7f5c902fc,2026-07-07T09:19:49.712,aml,OK,MT103,FAST,952.7,USD,**************8737,SG,83
61dca6c8-da42-8dc8-c869-1be7f5c902fc,2026-07-07T09:19:49.807,payment-hub,OK,MT103,FAST,952.7,USD,**************8737,SG,39
61dca6c8-da42-8dc8-c869-1be7f5c902fc,2026-07-07T09:19:49.922,core-banking,OK,MT103,FAST,952.7,USD,**************8737,SG,67
61dca6c8-da42-8dc8-c869-1be7f5c902fc,2026-07-07T09:19:50.158,settlement,SETTLED,MT103,FAST,952.7,USD,**************8737,SG,238
9df5cf59-b65e-0e30-f24a-99a96826aaae,2026-07-10T06:05:56.528,gateway,OK,pacs.008,FAST,6561.65,USD,**************9093,MY,60
9df5cf59-b65e-0e30-f24a-99a96826aaae,2026-07-10T06:05:56.576,auth,OK,pacs.008,FAST,6561.65,USD,**************9093,MY,61
9df5cf59-b65e-0e30-f24a-99a96826aaae,2026-07-10T06:05:56.744,validation,OK,pacs.008,FAST,6561.65,USD,**************9093,MY,89
9df5cf59-b65e-0e30-f24a-99a96826aaae,2026-07-10T06:05:56.827,aml,TIMEOUT,pacs.008,FAST,6561.65,USD,**************9093,MY,30000
9df5cf59-b65e-0e30-f24a-99a96826aaae,2026-07-10T06:05:56.986,payment-hub,FAILED,pacs.008,FAST,6561.65,USD,**************9093,MY,146
82378b40-1164-bd29-f7b2-a75ff42475ca,2026-07-06T20:32:48.207,gateway,OK,MT103,FAST,9596.31,GBP,**************4153,SG,22
82378b40-1164-bd29-f7b2-a75ff42475ca,2026-07-06T20:32:48.311,auth,OK,MT103,FAST,9596.31,GBP,**************4153,SG,70
82378b40-1164-bd29-f7b2-a75ff42475ca,2026-07-06T20:32:48.570,validation,OK,MT103,FAST,9596.31,GBP,**************4153,SG,99
82378b40-1164-bd29-f7b2-a75ff42475ca,2026-07-06T20:32:48.670,aml,OK,MT103,FAST,9596.31,GBP,**************4153,SG,156
82378b40-1164-bd29-f7b2-a75ff42475ca,2026-07-06T20:32:48.750,payment-hub,OK,MT103,FAST,9596.31,GBP,**************4153,SG,30
82378b40-1164-bd29-f7b2-a75ff42475ca,2026-07-06T20:32:48.791,core-banking,OK,MT103,FAST,9596.31,GBP,**************4153,SG,144
82378b40-1164-bd29-f7b2-a75ff42475ca,2026-07-06T20:32:48.838,settlement,SETTLED,MT103,FAST,9596.31,GBP,**************4153,SG,352
4e1b2bd1-a76b-f10e-9da4-70bbd5206644,2026-07-13T18:01:52.164,gateway,OK,pacs.008,FAST,248.83,EUR,**************1535,MY,49
4e1b2bd1-a76b-f10e-9da4-70bbd5206644,2026-07-13T18:01:52.236,auth,OK,pacs.008,FAST,248.83,EUR,**************1535,MY,50
4e1b2bd1-a76b-f10e-9da4-70bbd5206644,2026-07-13T18:01:52.346,validation,OK,pacs.008,FAST,248.83,EUR,**************1535,MY,65
4e1b2bd1-a76b-f10e-9da4-70bbd5206644,2026-07-13T18:01:52.419,aml,OK,pacs.008,FAST,248.83,EUR,**************1535,MY,195
4e1b2bd1-a76b-f10e-9da4-70bbd5206644,2026-07-13T18:01:52.562,payment-hub,OK,pacs.008,FAST,248.83,EUR,**************1535,MY,49
4e1b2bd1-a76b-f10e-9da4-70bbd5206644,2026-07-13T18:01:52.713,core-banking,OK,pacs.008,FAST,248.83,EUR,**************1535,MY,199
4e1b2bd1-a76b-f10e-9da4-70bbd5206644,2026-07-13T18:01:52.785,settlement,SETTLED,pacs.008,FAST,248.83,EUR,**************1535,MY,97
81ebb9cd-790a-316b-a9b8-e50d76e85bdf,2026-07-11T09:20:59.988,gateway,OK,MT103,FAST,2203.77,SGD,**************3653,SG,32
81ebb9cd-790a-316b-a9b8-e50d76e85bdf,2026-07-11T09:21:00.097,auth,OK,MT103,FAST,2203.77,SGD,**************3653,SG,20
81ebb9cd-790a-316b-a9b8-e50d76e85bdf,2026-07-11T09:21:00.234,validation,OK,MT103,FAST,2203.77,SGD,**************3653,SG,32
81ebb9cd-790a-316b-a9b8-e50d76e85bdf,2026-07-11T09:21:00.357,aml,OK,MT103,FAST,2203.77,SGD,**************3653,SG,139
81ebb9cd-790a-316b-a9b8-e50d76e85bdf,2026-07-11T09:21:00.454,payment-hub,OK,MT103,FAST,2203.77,SGD,**************3653,SG,65
81ebb9cd-790a-316b-a9b8-e50d76e85bdf,2026-07-11T09:21:00.533,core-banking,OK,MT103,FAST,2203.77,SGD,**************3653,SG,233
81ebb9cd-790a-316b-a9b8-e50d76e85bdf,2026-07-11T09:21:00.720,settlement,SETTLED,MT103,FAST,2203.77,SGD,**************3653,SG,317
ffeb3c43-f348-2ac9-c6fe-e3e2265a5c86,2026-07-05T03:41:16.665,gateway,OK,pacs.008,SWIFT,462.04,SGD,**************0431,SG,60
ffeb3c43-f348-2ac9-c6fe-e3e2265a5c86,2026-07-05T03:41:16.731,auth,OK,pacs.008,SWIFT,462.04,SGD,**************0431,SG,39
ffeb3c43-f348-2ac9-c6fe-e3e2265a5c86,2026-07-05T03:41:16.939,validation,OK,pacs.008,SWIFT,462.04,SGD,**************0431,SG,120
ffeb3c43-f348-2ac9-c6fe-e3e2265a5c86,2026-07-05T03:41:17.183,aml,OK,pacs.008,SWIFT,462.04,SGD,**************0431,SG,268
ffeb3c43-f348-2ac9-c6fe-e3e2265a5c86,2026-07-05T03:41:17.437,payment-hub,OK,pacs.008,SWIFT,462.04,SGD,**************0431,SG,40
ffeb3c43-f348-2ac9-c6fe-e3e2265a5c86,2026-07-05T03:41:17.483,core-banking,OK,pacs.008,SWIFT,462.04,SGD,**************0431,SG,76
ffeb3c43-f348-2ac9-c6fe-e3e2265a5c86,2026-07-05T03:41:17.556,settlement,SETTLED,pacs.008,SWIFT,462.04,SGD,**************0431,SG,378
805a3118-aa9d-cc09-a746-eda8dc8fa795,2026-07-12T19:09:49.374,gateway,OK,pacs.008,FAST,332.58,SGD,**************3170,SG,54
805a3118-aa9d-cc09-a746-eda8dc8fa795,2026-07-12T19:09:49.644,auth,OK,pacs.008,FAST,332.58,SGD,**************3170,SG,22
805a3118-aa9d-cc09-a746-eda8dc8fa795,2026-07-12T19:09:49.673,validation,OK,pacs.008,FAST,332.58,SGD,**************3170,SG,38
805a3118-aa9d-cc09-a746-eda8dc8fa795,2026-07-12T19:09:49.805,aml,OK,pacs.008,FAST,332.58,SGD,**************3170,SG,224
805a3118-aa9d-cc09-a746-eda8dc8fa795,2026-07-12T19:09:49.830,payment-hub,OK,pacs.008,FAST,332.58,SGD,**************3170,SG,85
805a3118-aa9d-cc09-a746-eda8dc8fa795,2026-07-12T19:09:49.921,core-banking,OK,pacs.008,FAST,332.58,SGD,**************3170,SG,157
805a3118-aa9d-cc09-a746-eda8dc8fa795,2026-07-12T19:09:50.011,settlement,SETTLED,pacs.008,FAST,332.58,SGD,**************3170,SG,63
5d517b6d-0c22-7cfc-9ae2-0544cd5493fa,2026-07-14T06:51:55.640,gateway,OK,pacs.008,FAST,232.49,USD,**************8225,GB,20
5d517b6d-0c22-7cfc-9ae2-0544cd5493fa,2026-07-14T06:51:55.704,auth,OK,pacs.008,FAST,232.49,USD,**************8225,GB,42
5d517b6d-0c22-7cfc-9ae2-0544cd5493fa,2026-07-14T06:51:55.793,validation,OK,pacs.008,FAST,232.49,USD,**************8225,GB,119
5d517b6d-0c22-7cfc-9ae2-0544cd5493fa,2026-07-14T06:51:55.861,aml,OK,pacs.008,FAST,232.49,USD,**************8225,GB,233
