uetr,ts,service,status,msg_type,rail,amount,currency,debtor_account,country,latency_ms
7da19b11-5300-0597-toe1-21aq73187ct1,2026-07-13T04:37:43.137,gateway,OK,pacs.008,FAST,500-1000,SGD,**************4610,MY,15
7da19b11-5300-0597-toe1-21aq73187ct1,2026-07-13T04:37:43.377,auth,OK,pacs.008,FAST,500-1000,SGD,**************4610,MY,54
7da19b11-5300-0597-toe1-21aq73187ct1,2026-07-13T04:37:43.533,validation,OK,pacs.008,FAST,500-1000,SGD,**************4610,MY,69
7da19b11-5300-0597-toe1-21aq73187ct1,2026-07-13T04:37:43.615,aml,OK,pacs.008,FAST,500-1000,SGD,**************4610,MY,103
7da19b11-5300-0597-toe1-21aq73187ct1,2026-07-13T04:37:43.706,payment-hub,OK,pacs.008,FAST,500-1000,SGD,**************4610,MY,79
7da19b11-5300-0597-toe1-21aq73187ct1,2026-07-13T04:37:43.761,core-banking,OK,pacs.008,FAST,500-1000,SGD,**************4610,MY,53
7da19b11-5300-0597-toe1-21aq73187ct1,2026-07-13T04:37:43.828,settlement,SETTLED,pacs.008,FAST,500-1000,SGD,**************4610,MY,112
8sb48c47-5433-7808-cak2-76fb19721rg2,2026-07-02T10:39:08.474,gateway,OK,MT103,SWIFT,0-500,SGD,**************3679,SG,17
8sb48c47-5433-7808-cak2-76fb19721rg2,2026-07-02T10:39:08.544,auth,OK,MT103,SWIFT,0-500,SGD,**************3679,SG,58
8sb48c47-5433-7808-cak2-76fb19721rg2,2026-07-02T10:39:08.607,validation,OK,MT103,SWIFT,0-500,SGD,**************3679,SG,100
8sb48c47-5433-7808-cak2-76fb19721rg2,2026-07-02T10:39:08.670,aml,OK,MT103,SWIFT,0-500,SGD,**************3679,SG,171
8sb48c47-5433-7808-cak2-76fb19721rg2,2026-07-02T10:39:08.779,payment-hub,OK,MT103,SWIFT,0-500,SGD,**************3679,SG,103
8sb48c47-5433-7808-cak2-76fb19721rg2,2026-07-02T10:39:08.845,core-banking,OK,MT103,SWIFT,0-500,SGD,**************3679,SG,224
8sb48c47-5433-7808-cak2-76fb19721rg2,2026-07-02T10:39:08.892,settlement,SETTLED,MT103,SWIFT,0-500,SGD,**************3679,SG,150
0ly18e47-0640-2424-eyo0-96yl75977bz7,2026-07-01T12:29:20.185,gateway,OK,MT103,FAST,500-1000,GBP,**************9669,SG,18
0ly18e47-0640-2424-eyo0-96yl75977bz7,2026-07-01T12:29:20.225,auth,OK,MT103,FAST,500-1000,GBP,**************9669,SG,28
0ly18e47-0640-2424-eyo0-96yl75977bz7,2026-07-01T12:29:20.290,validation,OK,MT103,FAST,500-1000,GBP,**************9669,SG,99
0ly18e47-0640-2424-eyo0-96yl75977bz7,2026-07-01T12:29:20.363,aml,TIMEOUT,MT103,FAST,500-1000,GBP,**************9669,SG,30000
